abase	làm mất thể diện
precarious	bấp bênh
precaution	sự đề phòng
precede	đứng trước
precedence	quyền ưu tiên
precedent	tiền lệ
precedential	cho bất kì
precession	sự đi trước
precipice	vách dựng ngược
precipitant	chất kết tủa
precipitate	kết tủa
precise	tóm lược
precision	độ chính xác
preclude	phòng ngừa
precocious	thông minh sớm
precursor	tiền thân
predatory	cướp bóc
predecessor	người tiền nhiệm
predicament	khó khăn
predicate	Thuộc tính
predict	dự đoán
prediction	sự dự đoán
predominance	địa vị cao hơn
predominant	cao hơn
predominate	chiếm ưu thế
preeminence	sự hoàn toàn
preempt	preempt
preemption	sự mua trước
preengage	preengage
preestablish	preestablish
preexist	preexist
preexistence	hiện hữu từ trước
preface	lời nói đầu
prefatory	mở đầu
prefer	thích hơn
preferable	thích hợp hơn
preference	sự ưa thích
preferential	ưu đãi
preferment	preferment
prefix	tiếp đầu ngữ
prehensible	prehensible
prehensile	có năng lực cầm
prehension	sự nắm được
prejudice	định kiến
prelacy	chức giám mục
prelate	giám mục
prelude	khúc dạo đầu
premature	sớm
premier	Thủ tướng
premise	tiên đề
premonition	điều báo trước
preoccupation	sự lo lắng
preoccupy	chiếm trước
preordain	preordain
preparation	sự chuẩn bị
preparatory	chuẩn bị
preponderant	nặng hơn
preponderate	cân nặng hơn
prepossession	sự dự kiến
preposterous	phi lý
prerogative	đặc quyền
presage	chỉ điềm
prescience	sự thấy trước
prescient	thấy trước
prescript	mạng lịnh
prescriptible	prescriptible
prescription	đơn thuốc
presentient	presentient
presentiment	điềm
presentment	cuộc diển kịch
preservation	sự bảo tồn
presumption	giả định
presumptuous	xấc láo
pretension	kỳ vọng
pretentious	tự phụ
preternatural	preternatural
pretext	cớ
prevalence	tỷ lệ
prevalent	đang thịnh hành
prevaricate	Nói quanh co
prevention	Phòng ngừa
prickle	cảm giác bị châm
priggish	làm bộ
prim	nghiêm trang
prima	prima
primer	lót
primeval	nguyên sinh
primitive	nguyên thủy
principal	hiệu trưởng
principality	chức vương
principle	nguyên tắc
priory	Tu viện
pristine	nguyên sơ
privateer	tàu của tư nhân
privilege	đặc quyền
privity	sự hiểu biết riêng
privy	riêng
probate	sự kiểm nhận
probation	kiểm soát
probe	thăm dò
probity	thành thật
procedure	phương pháp
proceed	tiến hành
proclamation	công bố
procrastinate	hoản lại
procrastination	sự trì hoãn
proctor	người đại lý
prodigal	hoang phí
prodigious	phi thường
prodigy	người phi thường
productive	sản xuất
profession	nghề nghiệp
professor	Giáo sư
proffer	sự dâng
proficiency	khả năng
proficient	giỏi
profile	Hồ sơ
profiteer	người đầu cơ
profligacy	sự trác táng
profligate	trác táng
profuse	xài phí
progeny	con cháu
progression	sự phát triển
prohibition	cấm
prohibitionist	người tán thành sự cấm chế
prohibitory	cấm chỉ
projection	chiếu
proletarian	thuộc về dân lao động
prolific	phong phú
prolix	rườm rà
prologue	lời nói đầu
prolong	kéo dài thời gian
promenade	đi chơi
prominence	nổi bật
prominent	đáng chú ý
promiscuous	lộn xộn
promissory	tuyên thệ
promontory	mũi đất nhô ra
promoter	người ủng hộ
promulgate	Ban hành
propaganda	công tác tuyên truyền
propagate	Tuyên truyền
propel	propel
propellant	đẩy
propeller	cánh quạt
prophecy	lời tiên tri
prophesy	tiên tri
propitious	thuận tiện
proportionate	theo tỷ lệ
propriety	sự đúng nghi thức
propulsion	sự đẩy tới
prosaic	thuộc về văn xuôi
proscenium	phần trước sân khấu
proscribe	cấm
proscription	sự bài xích
proselyte	người mới nhập hội
prosody	thi học
prospector	người đi tìm vàng
prospectus	Bản cáo bạch
prostrate	phủ phục
protagonist	trưởng đoàn
protection	sự bảo vệ
protective	bảo vệ
protector	người bảo vệ
protege	bảo trợ
Protestant	Tin Lành
protomartyr	protomartyr
protocol	Nghị định thư
protoplasm	nguyên sinh vật
prototype	nguyên mẫu
protract	kéo dài
protrude	Nhô ra
protrusion	sự đẩy tới trước
protuberance	chổ nhô lên
protuberant	lồi lên
protuberate	protuberate
proverb	tục ngữ
provident	tiết kiệm
providential	do thiên ý
provincial	tỉnh
proviso	điều khoản
provocation	khiêu khích
prowess	sức mạnh
proximately	xấp xỉ
proxy	Ủy quyền
prudence	sự khôn ngoan
prudential	bảo đảm an toàn
prudery	sự giừ gìn
prurient	dâm ô
pseudapostle	pseudapostle
pseudonym	tên giả
pseudonymity	pseudonymity
psychiatry	tinh thần bịnh học
psychic	nhà ngoại cảm
psychopathic	thuộc về bịnh thần kinh
psychotherapy	tâm lý
pudgy	béo lùn
puerile	thuộc về trẻ con
pugnacious	hay cải
puissant	có sức mạnh
pulmonary	phổi
punctilious	quá câu nệ
punctual	đúng giờ
pungent	khó chịu
pungency	tính chua chát
punitive	để trừng phạt
pupilage	thời kỳ học sinh
purgatory	để luyện tội
purl	kim tuyến
purloin	lấy trộm
purport	bài diển văn
purveyor	người thầu cung cấp
pusillanimous	khiếp nhược
putrescent	putrescent
pyre	giàn hỏa
pyromania	chứng điên hay đốt nhà
pyrotechnic	thuộc về thuật hỏa công
pyx	bình đựng thánh thể
quackery	thủ đoạn
quadrate	vuông
quadruple	tứ bội
qualification	trình độ chuyên môn
qualify	đủ điều kiện
qualm	sự lo âu
quandary	nỗi khó khăn
quantity	định lượng
quarantine	cách ly
quarrelsome	hay giận
quarter	phần tư
quarterly	hàng quý
quartet	tứ
quarto	khổ giấy in gấp làm bốn
quay	bến tàu
querulous	hay than van
query	truy vấn
queue	xếp hàng
quibble	không phân minh
quiescence	sự yên lặng
quiescent	yên
quiet	Yên tĩnh
quietus	bắn cho chết hẳn
quintessence	đệ ngũ nguyên tố
quintet	khúc nhạc năm phần
quite	khá
Quixotic	anh hùng rơm
rabid	quá sốt sắng
racy	đầy nhiệt huyết
radiance	ánh sáng chói lọi
radiate	phát xạ
radical	căn bản
radix	cơ số lô ga rít
raillery	lời giểu cợt
ramify	phân nhánh
ramose	có nhiều nhánh
rampant	hung hăng
rampart	thành lủy
rancor	sự thù hận
rankle	vết thương làm độc
rapacious	tham lam
rapid	nhanh
rapine	sự ăn cướp
rapt	khoái trá
raptorial	tham lam
ration	khẩu phần
rationalism	lý luận học
raucous	hơi thở khò khè
ravage	tàn phá
ravenous	ăn mồi
ravine	khe suối
reaction	sự phản ứng
reactionary	phản động
readily	dễ dàng
readjust	chỉnh lý
ready	Sẵn sàng
realism	chủ nghĩa hiện thực
rearrange	sắp xếp lại
reassure	Trấn an
rebellious	ương ngạnh
rebuff	từ chối
rebuild	xây dựng lại
rebut	bác bỏ
recant	chối
recapitulate	tóm lại
recapture	chiếm lại
recede	rút đi
receivable	thu
receptive	tiếp thu
recessive	Lặn
recidivist	người tại phạm
reciprocal	đối ứng
reciprocate	xoay chiều
reciprocity	sự tương phản
recitation	ngâm thơ
reck	reck
reckless	liều lĩnh
reclaim	đòi lại
recline	đặt vào vật gì
recluse	ẩn dật
reclusory	reclusory
recognizance	sự tuân theo điều kiện của tòa án
recognize	nhìn nhận
recoil	bật lên
recollect	nhớ lại
reconcilable	có thể điều hòa
reconnoiter	người dò xét
reconsider	xem xét lại
reconstruct	tái tạo lại
recourse	sự trông cậy
recover	bình phục
recreant	phản đảng
recreate	tái tạo
recrudescence	sự tái diển
recrudescent	recrudescent
recruit	tuyển dụng
rectify	chỉnh lưu
rectitude	sự đứng đắn
recuperate	hồi phục
recur	tái xuất
recure	recure
recurrent	định kỳ
redemption	chuộc lỗi
redolent	có hương thơm
redolence	mùi thơm
redoubtable	ghê ghớm
redound	chịu phần
redress	kiểu chính
reducible	có thể giãm giá
redundance	sự rờm rà
redundant	dư thừa
reestablish	thiết lập lại
refer	tham khảo
referrer	giới thiệu
referable	referable
referee	trọng tài
refinery	xưởng lọc dầu
reflectible	reflectible
reflection	sự phản xạ
reflector	gương phản chiếu
reflexible	reflexible
reform	cải cách
reformer	nhà cải cách
refract	khúc xạ
refractory	dai dẳng
refragable	refragable
refringency	refringency
refringent	refringent
refusal	sự từ chối
refute	bác bỏ
regale	Regale
regalia	biểu chương của vua
regality	quyền hành của vua
regenerate	tái tạo
regent	hội đồng quản trị
regicide	người giết vua
regime	chế độ
regimen	phác đồ điều trị
regiment	trung đoàn
regnant	tại ngôi
regress	thoái
regretful	ân hận
rehabilitate	phục hồi
reign	triều đại
reimburse	trả lại
rein	kiềm chế
reinstate	phục chức
reiterate	nhắc lại
rejoin	tái tham gia
rejuvenate	Rejuvenate
rejuvenescence	sự làm trẻ lại
relapse	tái phạm
relegate	đổi đi xa
relent	nên dịu dàng
relevant	liên quan, thích hợp
reliance	sự tín nhiệm
reliant	tín nhiệm
relinquish	từ chức
reliquary	hòm
relish	nếm
reluctance	miễn cưỡng
reluctant	lưỡng lự
remembrance	hồi tưởng
reminiscence	sự nhớ lại
reminiscent	làm nhớ lại
remiss	nhu nhược
remission	thuyên giảm
remodel	sửa kiểu lại
remonstrance	sự khiển trách
remonstrant	khiển trách
remonstrate	khiển trách
remunerate	tặng thưởng
remuneration	thù lao
Renaissance	sự phục hưng
rendezvous	nơi hẹn
rendition	sự thông dịch
renovate	Đổi mới
renunciation	từ bỏ
reorganize	tái tổ chức
reparable	bồi thường được
reparation	sự phân phối
repartee	lời đáp lại
repeal	thủ tiêu
repel	Repel
repellent	không thấm
repentance	ăn năn
repertory	kho tàng
repetition	sự lập lại
repine	phàn nàn
replenish	Replenish
replete	đầy
replica	bản sao
repository	kho
reprehend	khiển trách
reprehensible	khiển trách
reprehension	sự khiển trách
repress	đàn áp
repressible	repressible
reprieve	đặc xá trạng
reprimand	khiển trách
reprisal	sự trả thù
reprobate	chê
reproduce	tái sản xuất
reproduction	sinh sản
reproof	lời quở trách
repudiate	từ bỏ
repugnance	tính không hợp nhau
repugnant	không hợp
repulse	sự từ chối
repulsive	ghét
repute	thanh danh
requiem	cầu siêu
requisite	điều kiện cần thiết
requital	sự tưởng thưởng
requite	bù lại
rescind	hủy bỏ
reseat	trở lại ghế ngồi
resemblance	sự giống nhau
resent	gửi lại
reservoir	Hồ chứa
residue	phần còn lại
resilience	khả năng phục hồi
resilient	đàn hồi
resistance	Sức cản
resistant	chống lại
resistive	điện trở
resistless	không đề kháng
resonance	cộng hưởng
resonate	cộng hưởng
resource	nguồn
respite	thời gian nghỉ ngơi
resplendent	chói lọi
respondent	người trả lời
restitution	bồi thường
resumption	sự trở lại
resurgent	nổi lên
resurrection	phục sinh
resuscitate	làm cho sống lại
retaliate	trả thù
retch	sự buồn nôn
retention	giữ lại
reticence	tánh thận trọng
reticent	kín đáo
retinue	đoàn tùy tùng
retort	đáp lại
retouch	sự sửa lại
retrace	retrace
retract	-co
retrench	giãm bớt
retrieve	lấy lại
retroactive	hồi tố
retrograde	thoái hóa
retrogression	sự đi ngược lại
retrospect	Nhìn lại
retrospective	quá khứ
reunite	gặp lại nhau
revelation	sự tiết lộ
revere	tôn kính
reverent	tôn kính
reversion	sự trở lại
revert	Hoàn nguyên
revile	chưởi rủa
revisal	revisal
revise	xem lại
revocation	thu hồi
revoke	Thu hồi
rhapsody	sử thi ca
rhetoric	Hùng biện
rhetorician	nhà tu từ học
ribald	người thô lỗ
riddance	sự tự do
ridicule	nhạo báng
ridiculous	nực cười
rife	hoành hành
righteousness	công bình
rightful	hợp pháp
rigmarole	sự nói huyên thuyên
rigor	tính chính xác
rigorous	nghiêm ngặt
ripplet	ripplet
risible	dể tức cười
rivulet	con lạch
robust	mạnh
rondo	bản nhạc ngắn
rookery	xóm nhà lụp xụp
rotary	quay
rotate	quay
rote	sự học thuộc lòng
rotund	tròn
rudimentary	thô sơ
rue	sự hối hận
ruffian	người du côn
ruminant	hay nghĩ ngợi
ruminate	nhại lại
rupture	đoạn tuyệt
rustic	mộc mạc
ruth	lòng trắc ẩn
sacrifice	sự hy sinh
sacrificial	hy sinh
sacrilege	sự phạm tội
sacrilegious	phạm thánh
safeguard	bảo vệ
sagacious	khôn ngoan
salacious	dâm ô
salience	chổ nhô ra
salient	Quan trọng
saline	nước muối
salutary	bổ ích
salutation	sự chào
salutatory	nhập đề
salvage	cứu hộ
salvo	phương pháp cứu người
sanctimonious	tín ngưởng
sanction	phê chuẩn
sanctity	thánh
sanguinary	dã man
sanguine	lạc quan
sanguineous	có nhiều máu
sapid	có hương vị
sapience	sự khôn ngoan
sapient	khôn
sapiential	trí thư
saponaceous	có chất xà bông
sarcasm	mỉa mai
sarcophagus	loại ruồi thịt
sardonic	chua chát
satiate	ăn cho no
satire	lời châm biếm
satiric	chế nhạo
satirize	châm biếm
satyr	người dâm dục
savage	dã man
savor	hương thơm
scabbard	bao kiếm
scarcity	sự khan hiếm
scholarly	uyên bác
scholastic	niên học
scintilla	Scintilla
scintillate	long lanh
scope	phạm vi
scoundrel	đứa vô lại
scribble	chỉ viết cẩu thả
scribe	người sao lại
script	kịch bản
Scriptural	thánh kinh
scruple	đơn vị trọng lượng
scrupulous	chu đáo
scurrilous	hèn hạ
scuttle	làm đắm
scythe	lưỡi hái
seance	lên đồng
sear	áp chảo
sebaceous	có tính chất mỡ
secant	đương căt
secede	phân ly
secession	sự phân ly
seclude	nhốt chim
seclusion	bế quan tỏa cảng
secondary	thứ hai
secondly	thứ hai
second-rate	Lãi suất thứ hai
secrecy	bí mật
secretary	Thư ký
secretive	bí mật
sedate	nghiêm trang
sedentary	ít vận động
sediment	trầm tích
sedition	sự xúi giục
seditious	thuộc về sự nổi loạn
seduce	quyến rũ
sedulous	siêng năng
seer	nhà tiên tri
seethe	sôi lên
seignior	lảnh chúa
seismograph	máy đo địa chấn
seize	chiếm
selective	tuyển chọn
self-respect	tự trọng
semblance	sự giả đò
semicivilized	semicivilized
semiconscious	bán tín bán nghi
semiannual	nửa năm
semicircle	bán nguyệt
seminar	Hội thảo
seminary	chủng viện
senile	già yếu
sensation	cảm giác
sense	giác quan
sensibility	nhạy cảm
sensitive	nhạy cảm
sensorium	sensorium
sensual	gợi cảm
sensuous	dâm dật
sentence	kết án
sentience	sự cãm giác
sentient	sinh
sentinel	lính gác
separable	có thể phân chia
separate	tách rời
separatist	ly khai
septennial	bảy năm một lần
sepulcher	mộ làm bằng đá
sequacious	có mạch lạc
sequel	phần tiếp theo
sequence	sự nối tiếp
sequent	liên tiếp
sequester	cô lập
sequestrate	tịch thâu
sergeant	trung sỉ
sergeant-at-arms	trung sĩ-at-arms
sergeant-major	trung sĩ-lớn
service	dịch vụ
serviceable	săn sóc
servitude	hình phạt khổ sai
severance	thôi
severely	tàn khốc
sextet	bản nhạc có sáu ngưới hát
sextuple	gấp sáu lần
sheer	tuyệt đối
shiftless	không có hiệu quả
shrewd	thông minh
shriek	tiếng kêu xé tai
shrinkage	sự co lại
shrivel	teo lại
shuffle	trộn
sibilance	sibilance
sibilant	kêu như còi
sibilate	đọc có tiếng gió
sidelong	xiên
sidereal	thuộc về thiên thể
siege	sự bao vây
significance	ý nghĩa
significant	có ý nghĩa
signification	ý nghĩa
similar	giống
simile	sự so sánh
similitude	sự đối chiếu
simplify	đơn giản hóa
simulate	mô phỏng
simultaneous	cùng một lúc
sinecure	chức ngồi không ăn lương
singe	làm cháy sém
sinister	độc ác
sinuosity	trạng thái khúc khuỷnh
sinuous	quanh co
sinus	xoang
siren	nhân ngư
sirocco	gió đông nam ở địa trung hải
sisterhood	em đở đầu
skeptic	sự hoài nghi
skepticism	hoài nghi
skiff	thuyền nhỏ
skirmish	cuộc đụng độ
sleight	sleight
slight	mảnh dẻ
slothful	biếng nhác
sluggard	người làm biếng
sociable	Hòa đồng
socialism	chủ nghĩa xã hội
socialist	nhà xã hội học
sociology	xã hội học
Sol	nốt sol
solace	lời an ủi
solar	hệ mặt trời
solder	hàn
soldier	lính
solecism	điều lầm lổi
solicitor	cố vấn pháp luật
solicitude	sự lo lắng
soliloquy	người nói một mình
solstice	chí điểm
soluble	hòa tan được
solvent	hòa tan
somber	ảm đạm
somniferous	làm buồn ngũ
somnolence	tình trạng mơ màng
somnolent	mơ màng
sonata	khúc cầm nhạc
sonnet	bài thơ mười bốn câu
sonorous	kêu to
soothsayer	nhà tiên tri
sophism	lối ngụy biện
sophistical	sophistical
sophisticate	pha rượu
sophistry	chủ nghĩa ngụy biện
soprano	soprano
sorcery	yêu thuật
sordid	bẩn thỉu
souvenir	quà lưu niệm
sparse	rải rác
Spartan	Spartan
spasmodic	xảy ra không liên tiếp
specialize	chuyên môn
specialty	chuyên môn
specie	đồng tiền
species	loài
specimen	mẫu
specious	giả dối
spectator	khán giả
specter	ma quỷ
spectrum	quang phổ
speculate	suy đoán
speculator	người hay suy nghĩ
sphericity	cầu thể
spheroid	hình tự cầu
spherometer	spherometer
spinous	spinous
spinster	người đàn bà chưa chồng
spontaneous	tự phát
sprightly	hoạt bát
spurious	giả mạo
squabble	sự gây lộn
squalid	bẩn thỉu
squatter	người ngồi xổm
stagnant	ứ đọng
stagnate	đọng lại
stagnation	trì trệ
stagy	thuộc về sân khấu
staid	nghiêm trang
stallion	ngựa giống
stanchion	cột chống hai bên sườn tàu
stanza	đoạn thơ
statecraft	statecraft
static	tĩnh
statics	sự dẩn điện
stationary	đứng im
statistician	người làm thống kê
statuesque	có hình tượng
statuette	tượng nhỏ
stature	tầm vóc
statute	luật
stealth	lén
stellar	thuộc về sao
steppe	đồng hoang
sterling	sterling
stifle	chết ngộp
stigma	sự kỳ thị
stiletto	dao găm nhỏ
stimulant	chất kích thích
stimulate	kích thích
stimulus	kích thích kinh tế
stingy	bủn xỉn
stipend	lương
Stoicism	chủ nghĩa khắc kỷ
stolid	thản nhiên
strait	hẹp
stratagem	chiến mưu
stratum	stratum
streamlet	suối nhỏ
stringency	sự minh bạch
stringent	nghiêm khắc
stripling	thanh niên
studious	ham học
stultify	làm lố lăng
stupendous	kỳ diệu
stupor	trạng thái tê mê
suasion	sự làm cho phục
suave	ngọt ngào
subacid	subacid
subaquatic	subaquatic
subconscious	tiềm thức
subjacent	ở dưới
subjection	sự chinh phục
subjugate	chinh phục
subliminal	cao siêu
sublingual	dưới lưỡi
submarine	tàu ngầm
submerge	làm ngập
submergence	sự lặn xuống
submersible	chìm
submersion	sự phục tùng
submission	nộp hồ sơ
submittal	đệ trình
subordinate	phụ thuộc
subsequent	tiếp theo
subservience	sự giúp đở
subservient	khép nép
subside	lún xuống
subsist	vẩn tồn tại
subsistence	sự tồn tại
substantive	nội dung
subtend	phép tính
subterfuge	sự thoái thác
subterranean	dưới đất
subtle	tế nhị
subtrahend	số bị trừ
subversion	sự lật đổ
subvert	lật đổ
succeed	thành công
success	sự thành công
successful	thành công
successor	người kế thừa
succinct	gọn gàng
succulent	ngon
succumb	không chống nổi
sufferance	sự đau đớn
sufficiency	sự đầy đủ
suffrage	quyền bỏ phiếu
suffuse	lan ra
suggestible	có thể đề nghị
suggestive	đề nghị
summary	tóm lược
sumptuous	xa hoa
superabundance	sự quá nhiều
superadd	superadd
superannuate	đến tuổi về hưu
superb	tuyệt vời
supercilious	kiêu ngạo
superficial	hời hợt
superfluity	sự không có ích
superfluous	vô dụng
superheat	làm quá nóng
superintend	trông nom
superintendence	sự trông nom
superintendent	người quản lý
superlative	tối thượng
supernatural	siêu nhiên
supernumerary	dư
supersede	THAY THẾ
supine	không hoạt động
supplant	thay thế
supple	dẻo dai
supplementary	bổ sung
supplicant	nài nỉ
supplicate	van xin
supposition	sự giả thiết
suppress	đàn áp
suppressible	suppressible
suppression	sự đàn áp
supramundane	siêu thế
surcharge	phụ phí
surety	người bảo đãm
surfeit	tình trạng quá nhiều
surmise	phỏng đoán
surmount	khắc phục
surreptitious	giấu giếm
surrogate	người đại diện
surround	vây quanh
surveyor	kiểm soát viên
susceptibility	nhạy cảm
susceptible	nhạy cảm
suspense	hồi hộp
suspension	Huyền phù
suspicious	khả nghi
sustenance	đồ ăn
swarthy	sậm màu
Sybarite	dâm dục
sycophant	người nịnh bợ
syllabic	thuộc về vần
syllabication	sự đánh vần
syllable	vần
syllabus	giáo trình
sylph	thần gió
symmetrical	cân đối
symmetry	đối diện
sympathetic	thông cảm
sympathize	thông cảm
symphonic	giao hưởng
symphonious	symphonious
symphony	khúc nhạc
synchronism	tính đồng bộ
syndicate	công đoàn
syneresis	syneresis
synod	hội nghị tôn giáo
synonym	từ đồng nghĩa
synopsis	tóm tắc
systematic	có hệ thống
tableau	phong cảnh trên sân khấu
tacit	Ngấm ngầm
taciturn	trầm mặc
tack	khế ước cho mướn
tact	tact
tactician	nhà chiến thuật
tactics	chiến thuật
tangency	tiếp tuyến
tangent	tiếp tuyến
tangible	hữu hình
tannery	xưởng làm da
tantalize	chọc tức
tantamount	tương đương
tapestry	thảm thêu
tarnish	xỉn
taut	căng thẳng
taxation	thuế
taxidermy	thuật độn xác
technic	technic
technicality	tính cách chuyên môn
technique	kỹ thuật
technography	technography
technology	Công nghệ
teem	teem
telepathy	thần giao cách cãm
telephony	điện thoại
telescope	kính thiên văn
telltale	người hay mách
temerity	tánh khinh suất
temporal	thời gian
temporary	tạm thời
temporize	trì hỏan
tempt	cám dỗ
tempter	người cám dổ
tenacious	ngoan cố
tenant	người thuê nhà
tendency	xu hướng
tenet	giáo lý
tenor	tenor
tense	bẩn quá
tentative	mang tính thăm dò
tenure	nhiệm kỳ
tercentenary	ba trăm năm
termagant	người đàn bà gắt gỏng
terminal	thiết bị đầu cuối
terminate	chấm dứt
termination	chấm dứt
terminus	ga cuối cùng
terrify	Terrify
territorial	lãnh thổ
terse	vắn tắc
testament	di chúc
testator	người để chúc thư
testimonial	giấy chứng nhận
thearchy	thearchy
theism	sự tin tưởng có thượng đế
theocracy	chánh trị thần quyền
theocrasy	theocrasy
theologian	thần học
theological	thần học
theology	khoa thần học
theoretical	lý thuyết
theorist	lý thuyết gia
theorize	làm thành lý luận
thereabout	độ chừng
therefor	do
thermal	nhiệt
thermoelectric	nhiệt điện
thermoelectricity	nhiệt điện
thesis	luận văn
thoroughbred	thuần chủng
thoroughfare	đại lộ
thrall	nô lệ
tilth	sự trồng trọt
timbre	thanh sắc
timorous	hay sợ
tincture	kiến thức sơ sài
tinge	vẻ
tipsy	say
tirade	một tràng
tireless	không mệt mỏi
tiresome	làm mệt nhọc
Titanic	có chất hóa học
toilsome	gian nan
tolerable	có thể chịu được
tolerance	lòng khoan dung
tolerant	chấp thuận
tolerate	tha thứ
toleration	sự chịu được
topography	địa hình
torpor	sự hôn mê
torrid	nóng như thiêu
tortious	có hại
tortuous	quanh co
torturous	torturous
tractable	dể làm
trait	đặc điểm
trajectory	quỹ đạo
trammel	dây xích chân ngựa
tranquil	yên lặng
tranquilize	làm cho yên lòng
tranquility	Yên bình
transalpine	transalpine
transact	giao dịch buôn bán
transatlantic	xuyên Đại Tây Dương
transcend	Transcend
transcendent	siêu việt
transcontinental	xuyên qua đại lục
transcribe	Phiên âm
transcript	bảng điểm
transfer	chuyển khoản
transferable	chuyển nhượng
transferee	chuyển nhượng
transference	Sự chuyển di
transferrer	transferrer
transfigure	biến hình
transfuse	chuyển đồ sang
transfusible	transfusible
transfusion	truyền
transgress	vi phạm
transience	tính tạm thời
transient	tạm thời
transition	chuyển tiếp
transitory	tạm thời
translate	Phiên dịch
translator	thông dịch viên
translucence	mờ
translucent	trong suốt
transmissible	di truyền
transmission	quá trình lây truyền
transmit	chuyển giao
transmute	transmute
transparent	trong suốt
transpire	toát mồ hôi
transplant	cấy
transposition	sự chuyển điệu
transverse	ngang
travail	công việc vất vả
travesty	sự bắt chước đùa
treacherous	phụ bạc
treachery	sự phản bội
treasonable	thuộc về mưu phản
treatise	khái niệm
treble	gấp ba
trebly	trebly
tremendous	rất lớn
tremor	rung chuyen
tremulous	run
trenchant	đanh thép
trepidation	sự rung chuyển
trestle	cái giá
triad	bộ ba
tribune	diển đàn
trickery	sự đánh lừa
tricolor	ba màu
tricycle	xe ba bánh
trident	chĩa ba
triennial	kéo dài trong ba năm
trimness	trimness
trinity	bộ đồ ba món
trio	bộ ba
triple	gấp ba
triplicate	ba lần
triplicity	triplicity
tripod	giá ba chân
trisect	chia làm ba phần bằng nhau
trite	tầm thường
triumvir	chấp chánh ở trong tam đầu chế la mã
trivial	không đáng kể
troublesome	khó khăn
truculence	tánh hung dữ
truculent	dữ tợn
truism	sự thật đương nhiên
truthful	đúng sự thật
turgid	cương lên
turpitude	sự sĩ nhục
tutelage	thời gian giám hộ
tutelar	thuộc về giám hộ
tutorship	phương pháp dạy riêng
twinge	làm đau nhức
typical	điển hình
typify	tiêu biểu
typographical	in ấn
typography	typography
tyrannical	tàn bạo
tyranny	chuyên chế
tyro	người mới vào nghề
ubiquitous	phổ cập
ulterior	Thâm kin
ultimate	tối thượng
ultimatum	tối hậu thơ
ultramundane	ultramundane
ultramontane	ultramontane
umbrage	bóng cây
unaccountable	tánh kỳ khôi
unaffected	chân thật
unanimous	nhất trí
unanimity	trạng thái toàn thể
unavoidable	không thể tránh được
unbearable	không thể chịu nổi
unbecoming	không thích hợp
unbelief	sự không tin
unbiased	không thiên vị
unbridled	không cương
uncommon	không thông dụng
unconscionable	không hết lòng
unconscious	vô ý thức
unction	sự bôi
unctuous	lẻo mép
undeceive	khỏi bị lường gạt
undercharge	sự nạp không đủ sức
underexposed	thiếu sáng
undergarment	lót
underman	underman
undersell	bán rẻ
undersized	cở nhỏ nhất
underhanded	bất chánh
underlie	nền tảng
underling	thuộc hạ
undermine	hủy hoại
underrate	trị giá quá thấp
understate	không đủ
undervalue	đánh giá thấp
underworld	thế giới ngầm
underwrite	bảo hiểm
undue	Thái quá
undulate	undulate
undulous	undulous
unfavorable	bất lợi
ungainly	vô duyên
unguent	thuốc cao
unicellular	đơn bào
univalence	univalence
unify	Unify
unique	độc nhất
unison	unison
unisonant	unisonant
Unitarian	Unitarian
unlawful	bất hợp pháp
unlimited	vô hạn
unnatural	không tự nhiên
unnecessary	không cần thiết
unsettle	làm lung lay
unsophisticated	không kinh nghiệm
unspeakable	không thể nói
untimely	không kịp thời
untoward	không thuận tiện
unutterable	không thể tả được
unwieldy	khó di chuyển
unwise	không thận trọng
unyoke	nghỉ ngơi
up-keep	up-giữ
upbraid	khiển trách
upcast	bị ném lên trời
upheaval	sự thay đổi
upheave	nâng lên
uppermost	quan trọng hơn hết
uproarious	náo nhiệt
uproot	bứng rể
upturn	sự cải thiện
urban	đô thị
urbanity	lể độ
urchin	đứa bé láu cá
urgency	khẩn cấp
usage	sử dụng
usurious	cho vay nặng lải
usurp	chiếm đoạt
usury	cho vay cắt cổ
utilitarianism	chủ nghĩa thực dụng
utility	hữu dụng
utmost	hết sức
vacate	bỏ trống
vaccinate	chủng đậu
vacillate	lung lay
vacuous	trống
vacuum	máy hút bụi
vagabond	người vô nghề nghiệp
vagrant	rày đây mai đó
vainglory	hư vinh
vale	thung lũng
valediction	tiển hành
valedictorian	thủ khoa
valedictory	bài diển văn
valid	có hiệu lực
valorous	dũng cảm
vapid	không hứng thú
vaporizer	vaporizer
variable	Biến đổi
variance	đúng
variant	biến thể
variation	sự thay đổi
variegate	làm cho màu sắc khác nhau
vassal	chư hầu
vaudeville	đại nhạc hội
vegetal	thực vật
vegetarian	ăn chay
vegetate	sống một cách buồn chán
vegetation	thảm thực vật
vegetative	thực vật
vehement	kịch liệt
velocity	vận tốc
velvety	mịn như nhung
venal	dể hối lộ
vendible	có thể bán được
vendition	vendition
vendor	người bán
veneer	ván lạng
venerable	đáng kính
venerate	tôn kính
venereal	thuộc bịnh hoa liểu
venial	lỗi có thể tha thứ được
venison	thịt nai
venom	nọc độc
venous	tĩnh mạch
veracious	thật thà
veracity	sự thật thà
verbatim	từng tiếng một
verbiage	sự nói dài giòng
verbose	rườm rà
verdant	cỏ xanh tươi
verification	xác minh
verify	kiểm chứng
verily	quả thật
verity	tính cách thật sự
vermin	quân vô lại
vernacular	tiếng bản xứ
